txn_id,date,merchant,description,amount,mode
TXN1007,2026-05-01,Zomato,Food delivery,474.5,UPI
TXN1005,2026-05-02,BSES Electricity,Electricity bill,926.82,UPI
TXN1019,2026-05-02,Swiggy,Food delivery,491.89,UPI
TXN1024,2026-05-02,Uber,Ride,338.22,UPI
TXN1016,2026-05-03,Swiggy,Food delivery,351.97,UPI
TXN1021,2026-05-03,BigBasket,Groceries,1572.86,NetBanking
TXN1026,2026-05-03,Uber,Ride,402.25,UPI
TXN1043,2026-05-05,Apollo Pharmacy,Medicines,334.97,NetBanking
TXN1157,2026-05-05,Mom,UPI transfer,2500,UPI
TXN1152,2026-05-06,Riya Kapoor,UPI transfer,1000,UPI
TXN1041,2026-05-07,PVR Cinemas,Movie tickets,562.18,Card
TXN1006,2026-05-08,Zomato,Food delivery,452.14,UPI
TXN1038,2026-05-08,Amazon,Shopping,2929.77,Card
TXN1002,2026-05-09,Netflix,Subscription,199.0,UPI
TXN1014,2026-05-09,Swiggy,Food delivery,262.19,UPI
TXN1028,2026-05-09,Uber,Ride,269.63,UPI
TXN1156,2026-05-10,Arjun Mehta,UPI transfer,2500,UPI
TXN1037,2026-05-11,Amazon,Shopping,2997.13,UPI
TXN1017,2026-05-12,Swiggy,Food delivery,539.0,UPI
TXN1030,2026-05-12,Uber,Ride,237.24,UPI
TXN1151,2026-05-12,Rohan (roommate),UPI transfer,1000,UPI
TXN1039,2026-05-13,Myntra,Shopping,1115.8,UPI
TXN1136,2026-05-13,Riya Kapoor,UPI transfer,2500,UPI
TXN1161,2026-05-13,Adobe Creative Cloud,Subscription (unused since April),199.0,Card
TXN1010,2026-05-15,Zomato,Food delivery,485.71,UPI
TXN1035,2026-05-15,Amazon,Shopping,1514.26,NetBanking
TXN1133,2026-05-17,Mom,UPI transfer,1500,UPI
TXN1138,2026-05-17,Mom,UPI transfer,200,UPI
TXN1153,2026-05-17,Mom,UPI transfer,500,UPI
TXN1004,2026-05-18,Airtel Postpaid,Mobile bill,407.69,Card
TXN1009,2026-05-18,Zomato,Food delivery,417.81,UPI
TXN1020,2026-05-18,BigBasket,Groceries,974.76,Card
TXN1034,2026-05-18,Amazon,Shopping,2633.21,UPI
TXN1044,2026-05-18,Apollo Pharmacy,Medicines,347.06,NetBanking
TXN1023,2026-05-19,BigBasket,Groceries,1069.2,UPI
TXN1040,2026-05-19,Myntra,Shopping,2515.65,Card
TXN1018,2026-05-20,Swiggy,Food delivery,305.81,UPI
TXN1022,2026-05-20,BigBasket,Groceries,2039.63,Card
